Date : 2026-01-05 14:56:42
Directory : c:\projectedit2\Gretex music Room
Total : 266 files,  56703 codes, 1472 comments, 8810 blanks, all 66985 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\projectedit2\Gretex music Room\backend\src\routes\admin.routes.js                           | JavaScript         |        145 |         23 |         30 |        198 |
| c:\projectedit2\Gretex music Room\backend\src\routes\auth.routes.js                            | JavaScript         |         22 |          2 |          6 |         30 |
| c:\projectedit2\Gretex music Room\backend\src\routes\booking.routes.js                         | JavaScript         |         87 |         14 |         17 |        118 |
| c:\projectedit2\Gretex music Room\backend\src\routes\building.routes.js                        | JavaScript         |        146 |         13 |         23 |        182 |
| c:\projectedit2\Gretex music Room\backend\src\routes\course.routes.js                          | JavaScript         |         20 |          3 |          7 |         30 |
| c:\projectedit2\Gretex music Room\backend\src\routes\feedback.routes.js                        | JavaScript         |         16 |          2 |          5 |         23 |
| c:\projectedit2\Gretex music Room\backend\src\routes\index.js                                  | JavaScript         |         26 |          9 |         13 |         48 |
| c:\projectedit2\Gretex music Room\backend\src\routes\notification.routes.js                    | JavaScript         |         46 |          4 |          7 |         57 |
| c:\projectedit2\Gretex music Room\backend\src\routes\payment.routes.js                         | JavaScript         |         14 |          2 |          5 |         21 |
| c:\projectedit2\Gretex music Room\backend\src\routes\razorpay.routes.js                        | JavaScript         |         13 |          0 |          4 |         17 |
| c:\projectedit2\Gretex music Room\backend\src\routes\search.routes.js                          | JavaScript         |          5 |          1 |          4 |         10 |
| c:\projectedit2\Gretex music Room\backend\src\routes\slot.routes.js                            | JavaScript         |         80 |          7 |         12 |         99 |
| c:\projectedit2\Gretex music Room\backend\src\routes\zoho.routes.js                            | JavaScript         |          7 |          1 |          5 |         13 |
| c:\projectedit2\Gretex music Room\backend\src\server.js                                        | JavaScript         |        117 |         22 |         20 |        159 |
| c:\projectedit2\Gretex music Room\backend\src\services\admin.service.js                        | JavaScript         |        347 |         23 |         45 |        415 |
| c:\projectedit2\Gretex music Room\backend\src\services\auth.service.js                         | JavaScript         |        703 |        119 |        136 |        958 |
| c:\projectedit2\Gretex music Room\backend\src\services\booking.service.js                      | JavaScript         |        260 |         25 |         53 |        338 |
| c:\projectedit2\Gretex music Room\backend\src\services\building.service.js                     | JavaScript         |        264 |          7 |         36 |        307 |
| c:\projectedit2\Gretex music Room\backend\src\services\course.service.js                       | JavaScript         |        215 |         23 |         25 |        263 |
| c:\projectedit2\Gretex music Room\backend\src\services\feedback.service.js                     | JavaScript         |         99 |          0 |         14 |        113 |
| c:\projectedit2\Gretex music Room\backend\src\services\notification.service.js                 | JavaScript         |        138 |          1 |         24 |        163 |
| c:\projectedit2\Gretex music Room\backend\src\services\payment.service.js                      | JavaScript         |        115 |         10 |         26 |        151 |
| c:\projectedit2\Gretex music Room\backend\src\services\razorpay.service.js                     | JavaScript         |        186 |         19 |         36 |        241 |
| c:\projectedit2\Gretex music Room\backend\src\services\search.service.js                       | JavaScript         |        127 |          3 |         11 |        141 |
| c:\projectedit2\Gretex music Room\backend\src\services\slot.service.js                         | JavaScript         |        178 |          8 |         36 |        222 |
| c:\projectedit2\Gretex music Room\backend\src\services\zoho.service.js                         | JavaScript         |         79 |          2 |         17 |         98 |
| c:\projectedit2\Gretex music Room\backend\src\utils\email.js                                   | JavaScript         |        251 |         27 |         42 |        320 |
| c:\projectedit2\Gretex music Room\backend\src\utils\jwt.js                                     | JavaScript         |         16 |          0 |          6 |         22 |
| c:\projectedit2\Gretex music Room\backend\src\utils\response.js                                | JavaScript         |         33 |          0 |          6 |         39 |
| c:\projectedit2\Gretex music Room\backend\test-database-write.js                               | JavaScript         |        111 |          9 |         19 |        139 |
| c:\projectedit2\Gretex music Room\backend\test-db.js                                           | JavaScript         |          8 |          0 |          4 |         12 |
| c:\projectedit2\Gretex music Room\backend\test-forgot-password-endpoint.js                     | JavaScript         |         47 |          4 |         11 |         62 |
| c:\projectedit2\Gretex music Room\backend\test-forgot-password-flow.js                         | JavaScript         |         88 |          8 |         15 |        111 |
| c:\projectedit2\Gretex music Room\backend\test-forgot-password.js                              | JavaScript         |        102 |          8 |         16 |        126 |
| c:\projectedit2\Gretex music Room\backend\test-smtp.js                                         | JavaScript         |         23 |          0 |          7 |         30 |
